cleanprice	dirtyprice	netwage	leisuregood	cleangood	dirtygood	obs
1.606	1.049	13.76894	30	148.9486	24.78551	1
1.606	1.049	10.42079	42	181.423	36.73828	2
1.606	1.049	10.23242	30	254.179	13.19938	3
1.606	1.049	6.553749	30	291.1677	15.25262	4
1.606	1.049	7.027817	22	337.9514	47.66444	5
1.609667	1.061333	9.194099	50	102.5321	7.584653	6
1.606	1.049	7.108593	40	233.4116	19.39268	7
1.609667	1.061333	8.48037	70	48.86284	1.255352	8
1.609667	1.061333	9.564444	40	139.2964	20.90641	9
1.606	1.049	11.38233	20	409.1747	59.25057	10
1.606	1.049	9.734324	30	289.8865	48.83772	11
1.606	1.049	13.98751	70	222.938	28.30535	12
1.609667	1.061333	7.885028	28	212.6814	6.595478	13
1.606	1.049	9.197656	25	396.901	30.35858	14
1.609667	1.061333	11.18744	25	133.6278	38.05083	15
1.609667	1.061333	7.77453	15	570.0057	6.523	16
1.606	1.049	6.517138	20	213.3586	15.39928	17
1.606	1.049	8.609344	50	99.08257	30.48267	18
1.606	1.049	11.51749	17	211.8498	22.21896	19
1.609667	1.061333	10.60643	30	119.0882	8.189988	20
1.606	1.049	7.783386	46	66.44554	22.43895	21
1.606	1.049	4.533795	30	72.03832	13.22228	22
1.609667	1.061333	7.137244	25	278.6769	31.89022	23
1.609667	1.061333	12.6138	60	82.62675	15.6919	24
1.609667	1.061333	13.66712	20	662.7853	30.36819	25
1.609667	1.061333	10.85467	55	108.3765	3.986278	26
1.609667	1.061333	11.34954	30	149.5054	19.78643	27
1.606	1.049	8.458983	30	398.8528	17.59918	28
1.606	1.049	9.529823	22	150.1581	41.79805	29
1.609667	1.061333	9.634136	30	524.4755	27.54156	30
1.606	1.049	7.843094	30	55.80635	14.62932	31
1.606	1.049	7.88444	10	351.8297	27.79204	32
1.609667	1.061333	7.15368	30	126.2206	17.53962	33
1.606	1.049	9.9895	10	313.2723	30.06526	34
1.606	1.049	10.15151	10	555.2615	47.29779	35
1.606	1.049	8.178318	30	227.4044	32.33849	36
1.606	1.049	12.35236	30	58.96757	11.36614	37
1.606	1.049	11.78052	70	284.0789	35.12503	38
1.606	1.049	7.614687	30	475.9855	15.91259	39
1.609667	1.061333	11.40692	40	345.7477	43.48667	40
1.606	1.049	6.963267	37	73.81417	12.70111	41
1.609667	1.061333	6.595867	40	132.1344	29.06359	42
1.606	1.049	6.749831	35	341.1606	67.02354	43
1.609667	1.061333	7.998538	66	106.4124	31.67279	44
1.606	1.049	7.55541	20	238.5286	18.99245	45
1.609667	1.061333	10.42711	40	430.7629	31.45536	46
1.606	1.049	12.1538	70	61.11696	24.78551	47
1.609667	1.061333	11.75468	10	544.0448	36.09393	48
1.606	1.049	8.35111	30	114.5823	12.31942	49
1.609667	1.061333	17.55304	70	117.0804	41.42661	50
1.606	1.049	7.742331	35	198.3787	10.99949	51
1.609667	1.061333	6.091607	30	317.9584	16.9598	52
1.606	1.049	6.95622	10	277.9121	19.35909	53
1.609667	1.061333	8.993654	10	750.9888	25.00483	54
1.606	1.049	6.619854	35	362.5946	30.06526	55
1.606	1.049	8.932649	20	191.9006	25.7388	56
1.609667	1.061333	13.45678	70	86.72257	57.57881	57
1.609667	1.061333	12.70514	20	194.4741	15.80015	58
1.609667	1.061333	3.902657	32	65.01755	11.6687	59
1.609667	1.061333	12.2863	25	127.9932	47.40582	60
1.606	1.049	11.09479	70	128.0774	5.646403	61
1.606	1.049	7.378444	30	127.9337	21.339	62
1.606	1.049	6.222177	25	142.722	16.86588	63
1.606	1.049	7.357499	30	132.1888	16.2297	64
1.606	1.049	7.937349	35	175.5556	16.86588	65
1.606	1.049	12.97754	15	579.0052	27.13207	66
1.606	1.049	8.701508	30	1593.244	70.32339	67
1.606	1.049	10.15495	52	328.2642	5.206423	68
